resource	qtl_type	context	release_year	year_source	download_url	access_route	note
eQTL Catalogue	eQTL;sQTL;txrev;exon	~130 studies, bulk + sorted cell types	2021	resource paper (Kerimov et al., Nat Genet); releases ongoing, r7 in 2023	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/	direct	File index is tabix_ftp_paths.tsv in eQTL-Catalogue-resources; susie/ holds the fine-mapped sets. Already reachable through this skill's `search`/`resolve`.
GTEx v8 single-tissue cis-eQTL	eQTL	49 bulk tissues	2020	GTEx Consortium data release paper (Science)	https://storage.googleapis.com/adult-gtex/bulk-qtl/v8/single-tissue-cis-qtl/GTEx_Analysis_v8_eQTL.tar	direct	Public bucket, no registration. Bucket copy last written 2023-02.
GTEx v10 SuSiE sQTL	sQTL	bulk tissues	2024	file date on the GTEx bucket (2024-07-19)	https://storage.googleapis.com/adult-gtex/bulk-qtl/v10/susie-qtl/GTEx_v10_SuSiE_sQTL.tar	direct	Fine-mapped splicing QTL, v10.
BrainMeta cis-sQTL	sQTL	brain, meta-analysis	2022	dataset paper (Qi et al.), matches file date 2022-03	https://yanglab.westlake.edu.cn/data/SMR/BrainMeta_cis_sqtl_summary.tar.gz	direct	SMR/BESD format — needs conversion before locusview can read it. 9.6 GB.
Westra blood eQTL	eQTL	whole blood	2013	dataset paper (Westra et al., Nat Genet)	http://cnsgenomics.com/software/smr/westra_eqtl_hg19.zip	direct	hg19, SMR format. Old but widely used. Server file date is a re-upload, not the data year.
US mQTL (SMR format)	meQTL	blood	2021	file date on the server (2021-10-20) — origin study NOT confirmed	https://yanglab.westlake.edu.cn/data/SMR/US_mQTLS_SMR_format.zip	direct	Methylation QTL despite the eQTL label the extractor gave the row. Confirm which cohort this is before using it.
Framingham Heart Study meQTL	meQTL	whole blood	2019	dataset paper (Huan et al., Nat Commun)	https://ftp.ncbi.nlm.nih.gov/eqtl/original_submissions/FHS_meQTLs/	direct	Directory listing; individual files inside.
NCBI eQTL original submissions	eQTL;meQTL;pQTL;sQTL	mixed, many submissions	mixed	repository — one year per submission, not one for the tree	https://ftp.ncbi.nlm.nih.gov/eqtl/original_submissions/	direct	A tree of submitted QTL sets, not one dataset — worth walking.
iPSCORE multiomic QTL	caQTL;eQTL	iPSC and iPSC-derived	2025	dataset paper	https://plus.figshare.com/collections/Multiomic_iPSCORE_QTLs/7553361	supplement	Figshare collection; files are per-modality.
iPSC proteome pQTL	pQTL	iPSC, 151 donors	2020	dataset paper (population-scale iPSC proteome)	https://figshare.com/projects/QTL_datasets_for_Population-scale_proteome_variation_in_human_induced_pluripotent_stem_cells_/84233	supplement	Donor count 151 came from the paper text and looks right, but confirm it.
Macrophage tuQTL	tuQTL;eQTL	macrophage, 4 stimulation states	2019	dataset paper (promoter-usage context specificity)	https://zenodo.org/communities/macrophage-tuqtls/	supplement	Transcript-usage QTL across stimulated states — a genuine context QTL set.
Multi-ancestry cis-eQTL (AA / PR / MX)	eQTL	blood, three admixed populations	2022	Zenodo record publication_date 2022-07-24 (deposited 2023-03)	https://zenodo.org/records/7735723/files/MX.cis-eQTL.tar.gz	direct	Found via a 2026 T2D paper that only cites it; the dataset is the ancestry-specific eQTL study. Non-European cohorts, which the inventory is otherwise thin on.
CommonMind (CMC) brain eQTL	eQTL	prefrontal cortex	2016	dataset paper (Fromer et al., Nat Neurosci)	https://shiny.synapse.org/users/ssiebert/cmc_eqtl_query/	portal	Query interface only; bulk files are behind Synapse registration.
Genes & Health Seer pGWAS	pQTL	plasma	2026	Nature Genetics article and portal README	https://omicscience.org/apps/pGWAS_GandH_seer/	declared public; currently blocked	README claims anonymous GCS access, but gsutil and Storage API returned 403 VPC Service Controls on 2026-09-07. Contact maintainers for restored/alternate access. n=1,413 for genome-wide pQTL; individual-level data are controlled.
