dataset	papers	kind	qtl_types	types_mentioned_by_citing_papers	earliest_paper_year	earliest_paper	earliest_doi	earliest_pmid	dataset_url	dataset_url_route	dataset_url_status	url_attributed_from	access_routes_seen	contexts_seen	url_evidence	catalogue_study	catalogue_datasets	catalogue_donor_range	study_pmid	study_donors	study_donors_evidence	url_dataset_id	url_dataset_context	url_dataset_donors
GTEx	817	primary dataset	eQTL;sQTL	eQTL;sQTL;pQTL;meQTL;caQTL;hQTL;metabolite-QTL	2012	Liver expression quantitative trait loci: a foundation for pharmacogenomic research.	10.3389/fgene.2012.00153	22912647	https://yanglab.westlake.edu.cn/data/SMR/GTEx_V8_cis_eqtl_summary_lite.tar	direct	ok	3925	portal:456;unknown:191;supplement:76;request:40;direct:21;controlled:19;unavailable:14	B cell;CD4;CD8;LCL;NK cell;PBMC;T cell;activated;adipose;airway;artery;astrocyte;blood;bone;brain;breast;cancer;cartilage;cell line;cerebellum;colon;cortex;dendritic cell;differentiation;endothelial;e	corpus: paper's own deposit									
eQTLGen	404	primary dataset	eQTL	eQTL;pQTL;sQTL;meQTL;caQTL;hQTL;metabolite-QTL	2018	Identifying gene targets for brain-related traits using transcriptomic and methylomic data from blood.	10.1038/s41467-018-04558-1	29891976	https://eqtlgen.org/candida.html	portal	ok	11082	portal:225;unknown:114;request:39;supplement:12;direct:9;unavailable:3;controlled:2	B cell;CD4;CD8;LCL;NK cell;PBMC;T cell;activated;adipose;airway;artery;astrocyte;blood;bone;brain;breast;cancer;cartilage;cell line;cerebellum;colon;cortex;dendritic cell;differentiation;endothelial;e	corpus: paper's own deposit									
deCODE plasma pQTL	208	primary dataset	pQTL	pQTL;eQTL;sQTL;meQTL;metabolite-QTL	2008	Applying novel genome-wide linkage strategies to search for loci influencing type 2 diabetes and adult height in American Samoa.	10.3378/1534-6617(2008)80[99:anglst]2.0.co;2	18720898					portal:114;unknown:52;supplement:23;request:12;unavailable:4;direct:3	B cell;CD4;CD8;NK cell;PBMC;T cell;activated;adipose;airway;artery;astrocyte;blood;bone;brain;breast;cancer;cartilage;cell line;colon;cortex;dendritic cell;differentiation;endothelial;epithelial;eryth										
IEU OpenGWAS	128	catalogue	eQTL;pQTL	eQTL;pQTL;sQTL;meQTL	2021	The variant call format provides efficient and robust storage of GWAS summary statistics.	10.1186/s13059-020-02248-0	33441155					portal:97;unknown:13;supplement:8;request:6;direct:2;unavailable:2	B cell;CD4;CD8;NK cell;T cell;activated;adipose;artery;astrocyte;blood;bone;brain;breast;cancer;cell line;cerebellum;colon;cortex;dendritic cell;differentiation;endothelial;epithelial;erythroid;esopha										
UKB-PPP	82	primary dataset	pQTL	pQTL;eQTL;sQTL;metabolite-QTL	2023	Plasma proteomic associations with genetics and health in the UK Biobank.	10.1038/s41586-023-06592-6	37794186	https://registry.opendata.aws/ukbppp/	portal	ok	4991	portal:34;unknown:26;supplement:15;request:4;unavailable:3	B cell;CD4;CD8;NK cell;T cell;activated;adipose;artery;blood;bone;brain;breast;cancer;cell line;cerebellum;colon;cortex;dendritic cell;differentiation;endothelial;epithelial;fibroblast;heart;keratinoc	corpus: paper's own deposit									
OneK1K	61	primary dataset	eQTL	eQTL;sQTL;meQTL;pQTL;caQTL	2022	Regional genetic correlations highlight relationships between neurodegenerative diseases and the immune system	10.1101/2022.12.07.22283179		https://onek1k.org/	portal	ok	9413	portal:29;unknown:17;supplement:10;request:3;direct:2	B cell;CD4;CD8;NK cell;PBMC;T cell;adipose;blood;brain;breast;cancer;cell line;differentiation;epithelial;fibroblast;lung;macrophage;microglia;monocyte;nerve;ovary;plasma;prostate;skin;thyroid;tumor;t	corpus: paper's own deposit									
ROSMAP	59	primary dataset	eQTL;meQTL	eQTL;meQTL;pQTL;sQTL;caQTL	2018	A molecular network of the aging human brain provides insights into the pathology and cognitive decline of Alzheimer's disease.	10.1038/s41593-018-0154-9	29802388	https://vmenon.shinyapps.io/rosmap_snrnaseq_eqtl/	portal	ok	7891	supplement:24;portal:23;unknown:9;request:2;unavailable:1	CD4;T cell;astrocyte;blood;brain;cancer;cell line;cortex;endothelial;heart;hippocampus;kidney;microglia;monocyte;neuron;oligodendrocyte;plasma	corpus: paper's own deposit									
PsychENCODE	54	primary dataset	eQTL;sQTL	eQTL;sQTL;pQTL;meQTL	2015	The PsychENCODE project.	10.1038/nn.4156	26605881	http://resource.psychencode.org/Datasets/Derived/PEC_TWAS_weights.tar.gz	direct	ok	4413	portal:29;supplement:15;unknown:6;request:2;unavailable:1;direct:1	astrocyte;blood;brain;breast;cerebellum;cortex;differentiation;endothelial;hippocampus;iPSC;lung;microglia;muscle;neuron;oligodendrocyte;plasma;thyroid;tumor	corpus: paper's own deposit									
TOPMed	53	primary dataset	eQTL	eQTL;sQTL;pQTL;meQTL;hQTL	2019	High-Throughput Sequencing in Respiratory, Critical Care, and Sleep Medicine Research. An Official American Thoracic Society Workshop Report.	10.1513/annalsats.201810-716ws	30592451	https://pheweb.org/UKB-TOPMed/pheno/426.24	portal	ok	7671	portal:25;unknown:18;controlled:6;supplement:3;direct:1	PBMC;T cell;airway;artery;blood;brain;breast;cancer;cell line;colon;epithelial;erythroid;fibroblast;heart;infected;liver;lung;lymphoblastoid;muscle;plasma;platelet;prostate;skeletal muscle;skin;whole 	corpus: paper's own deposit									
BLUEPRINT	42	primary dataset	eQTL;meQTL;hQTL	eQTL;hQTL;meQTL;sQTL;pQTL;caQTL	2014	Approaches for establishing the function of regulatory genetic variants involved in disease.	10.1186/s13073-014-0092-4	25473428	http://dcc.blueprint-epigenome.eu/	portal	ok	9373	portal:22;unknown:13;supplement:5;controlled:1;direct:1	CD4;CD8;T cell;artery;astrocyte;blood;brain;cancer;cell line;cortex;differentiation;endothelial;epithelial;fibroblast;heart;kidney;liver;lymphoblastoid;macrophage;microglia;monocyte;muscle;neuron;neut	corpus: paper's own deposit									
